site,management,transect,rep.day,coast.distance,bare.cover,animal.trail,animal.hole,soil.composition.clay,soil.composition.loam,soil.composition.sand,rock.percentage
RM,tilled.planted,1,1,71.3,8,0,0,90,90,0,0
RM,untilled.unplanted,2,1,59.5,0,0,0,90,90,0,0
FR,untilled.unplanted,1,1,52,8,0,0,70,0,30,0
FR,untilled.unplanted,1,1,15.6,40,0,0,60,0,40,1
RM,tilled.planted,2,2,71.3,15,0,0,90,90,0,0
RM,untilled.unplanted,1,2,59.5,15,0,1,90,90,0,0
FR,untilled.unplanted,2,2,52,5,0,1,70,0,30,0
FR,untilled.unplanted,1,2,15.6,2,1,0,60,0,40,0
RM,tilled.planted,2,3,71.3,15,0,0,90,90,0,0
RM,untilled.unplanted,1,3,59.5,0,0,0,90,90,0,0
FR,untilled.unplanted,2,3,52,18,0,0,70,0,30,0
FR,untilled.unplanted,1,3,15.6,2,1,0,70,0,30,0
RM,tilled.planted,2,4,71.3,25,0,0,90,90,0,0
RM,untilled.unplanted,1,4,59.5,5,0,0,90,90,0,0
FR,untilled.unplanted,2,4,52,3,1,0,70,0,30,0
FR,untilled.unplanted,1,4,15.6,2,1,0,70,0,30,1
RM,tilled.planted,2,5,71.3,5,1,0,90,90,0,0
RM,untilled.unplanted,1,5,59.5,5,0,1,90,90,0,0
FR,untilled.unplanted,2,5,52,5,1,1,70,0,30,0
FR,untilled.unplanted,1,5,15.6,3,0,1,70,0,30,0
RM,tilled.planted,2,6,71.3,10,0,0,90,90,0,0
RM,untilled.unplanted,1,6,59.5,0,1,0,90,90,0,0
FR,untilled.unplanted,2,6,52,2,1,0,70,0,30,0
FR,untilled.unplanted,1,6,15.6,25,1,0,80,0,20,1
RM,tilled.planted,2,7,71.3,30,1,0,90,90,0,0
RM,untilled.unplanted,1,7,59.5,5,0,0,90,90,0,0
FR,untilled.unplanted,2,7,52,2,1,0,80,0,20,0
FR,untilled.unplanted,1,7,15.6,2,1,0,80,0,20,0
RM,tilled.planted,2,8,71.3,50,0,0,90,90,0,0
RM,untilled.unplanted,1,8,59.5,5,0,0,90,90,0,0
FR,untilled.unplanted,2,8,52,5,1,0,80,0,20,0
FR,untilled.unplanted,1,8,15.6,2,0,0,80,0,20,0
RM,tilled.planted,2,9,71.3,5,1,0,90,90,0,0
RM,untilled.unplanted,1,9,59.5,3,1,0,90,90,0,0
FR,untilled.unplanted,2,9,52,3,1,0,70,0,30,0
FR,untilled.unplanted,1,9,15.6,40,1,1,70,0,30,0
RM,tilled.planted,2,10,71.3,25,0,0,90,90,0,0
RM,untilled.unplanted,1,10,59.5,1,0,0,90,90,0,0
FR,untilled.unplanted,2,10,52,15,1,0,70,0,30,0
FR,untilled.unplanted,1,10,15.6,5,0,0,80,0,20,1
RM,tilled.planted,2,11,71.3,10,0,0,90,90,0,0
RM,untilled.unplanted,1,11,59.5,3,1,0,90,90,0,0
FR,untilled.unplanted,2,11,52,10,0,0,70,0,30,0
FR,untilled.unplanted,1,11,15.6,5,0,0,80,0,20,0
RM,tilled.planted,2,12,71.3,5,0,0,90,90,0,0
RM,untilled.unplanted,1,12,59.5,0,1,0,90,90,0,0
FR,untilled.unplanted,2,12,52,5,1,1,70,0,30,0
FR,untilled.unplanted,1,12,15.6,10,1,0,80,0,20,0
RM,tilled.planted,2,13,71.3,15,0,0,90,90,0,0
RM,untilled.unplanted,1,13,59.5,35,0,0,90,90,0,0
FR,untilled.unplanted,2,13,52,2,0,0,70,0,30,0
FR,untilled.unplanted,1,13,15.6,3,1,1,80,0,20,0
RM,tilled.planted,2,14,71.3,5,1,0,90,90,0,0
RM,untilled.unplanted,1,14,59.5,0,1,1,90,90,0,0
FR,untilled.unplanted,2,14,52,2,0,0,80,0,20,0
FR,untilled.unplanted,1,14,15.6,2,0,0,80,0,20,0
RM,tilled.planted,2,15,71.3,8,0,0,90,90,0,0
RM,untilled.unplanted,1,15,59.5,0,0,0,90,90,0,0
FR,untilled.unplanted,2,15,52,2,0,0,80,0,20,0
FR,untilled.unplanted,1,15,15.6,8,0,0,80,0,20,0
