lat,long,elevation,names
35.53966,-121.09032,23,RM
35.53932,-121.09002,20,RM
35.53896,-121.08968,17,RM
35.52933,-121.07793,26,RM
35.52895,-121.07758,20,RM
35.52862,-121.07728,22,FR
35.54944,-121.10043,17,FR
35.54976,-121.10072,15,FR
35.55009,-121.10102,15,FR
35.55046,-121.10166,9,FR
35.5508,-121.10195,9,FR
35.55117,-121.10227,11,FR
